English,Meaning
tongs,щипцы
rancher,фермер
sportsman,спортсмен
patriarch,патриарх
,значение NULL
blueberries,черника
ve-,до дости-
frisco,Сан-Франциско
cartons,картонные коробки
exceeds,превышает
daedalus,Дедал
feudal,феодальный
arses,ослы
paradigm,парадигма
guerrero,Герреро
edema,отек
chutney,чатни
guten,Guten
deo,Део
recollect,вспоминаешь
proletariat,пролетариат
kaboom,Kaboom
interrogations,допросы
scuffle,драка
you`ve,вы `
henchman,прихвостень
rasmus,Расмус
molest,приставать
tootsie,Ножки
thayer,Тайер
yolk,желток
hisself,Себя
explicitly,эксплицитно
arterial,артериальный
methodical,методический
saver,заставки
launder,желоб
spaz,Spaz
undertaken,проведены
hummingbird,колибри
intestinal,кишечный
everything-,все-
horsey,лошадиный
prowling,Крадущийся
givens,данность
douse,окунать
ooze,тина
dupree,Дюпре
riggins,Риггинс
beehive,улей
elroy,Elroy
chechnya,чечня
luring,заманивает
gazebo,бельведер
gatsby,Гэтсби
angelus,Ангелюс
mathews,Mathews
wretches,негодяи
spotter,корректировщик
nine-year-old,девять-летний
petersen,Петерсен
nautilus,кораблик
recluse,отшельник
mortis,окоченение
covet,пожелай
pringle,Прингл
ranchers,скотоводы
finite,конечный
tonto,Тонто
angola,ангола
platypus,утконос
veronika,вероника
waging,Waging
skyline,линия горизонта
desdemona,Дездемона
copernicus,Коперник
kiyoshi,Kiyoshi
amazons,амазонки
marys,Мэрис
w-well,W-хорошо
ric,RIC
bearable,терпимый
travesty,пародия
frontiers,границы
refuel,дозаправки
korra,Корра
monogamous,моногамный
lull,затишье
remnant,остаток
nascar,НАСКАР
smirk,ухмылка
routed,маршрутизация
omer,омер
haas,Haas
affiliated,аффилированное
tush,тьфу
laughingstock,посмешище
uns,унс
commodities,товаров
smithsonian,Смитсоновский
blockage,блокировка
ventriloquist,чревовещатель
yams,ямс
beaucoup,Ьеаисоир
analysed,проанализирован
good-byes,хорошие прощания
seeming,кажущийся
dumont,дюмон
mayans,Mayans
coasters,подставки
landscaping,ландшафтный дизайн
pleasurable,приятный
sandrine,Сандрин
navajo,навахо
unknowingly,незнанию
exercised,осуществляется
quotation,цитата
hercule,Эркюль
stalks,стебли
embalming,бальзамирование
bunkers,бункеры
supplements,добавки
politeness,вежливость
consisted,Состоял
doings,дела
revolve,вращаться
unfounded,необоснованный
torrance,Торранс
astor,Astor
if-if,если если
visiontext,visiontext
winking,подмигивающий
hinting,намекая
johansson,Йоханссон
uncalled,невостребованный
screenwriter,сценарист
reimburse,возмещать
ugo,Ugo
woodhouse,деревянный дом
christened,крещеный
rsvp,Просьба ответить
father-son,отец-сын
cannae,Канны
virile,мужественный
hol,хол
role-playing,ролевая
hankmed,hankmed
motivational,мотивационным
spotty,пятнистый
patching,латание
never-,никогда-
tranquilizers,транквилизаторы
mork,Mork
extort,выкачивают
nominations,номинации
celebratory,праздничный
crud,падла
puta,пута
pate,паштет
mercilessly,нещадно
battering,долбление
insignia,знаки
demeaning,унизительно
raider,рейдер
jangling,звенящего
hipster,хипстер
reels,катушки
upto,вплоть до
triangles,треугольники
individuality,индивидуальность
debauchery,разврат
cecily,Сесилия
plucking,выщипывание
moritz,Moritz
two-time,Двукратный
loin,поясница
identifies,определяет
phineas,Финес
macabre,мрачный
hurled,швырнула
varnish,лак
cosmopolitan,космополит
wack,ненормальный
pino,пино
surly,неприветливый
obtaining,получение
riffraff,сволочь
compost,компост
toured,гастролировал
gook,Гук
cross-reference,Перекрестная ссылка
halle,Галле
toxie,Toxie
anklet,ножной браслет
hoskins,Хоскинс
expressive,выразительный
singled,выделены
zé,Зе
employing,используя
migrate,мигрирует
sass,пререкаться
validation,Проверка
broaden,Расширить
mortars,минометы
first-time,первый раз
yields,доходность
chimneys,дымоходы
gonorrhea,гонорея
buzzers,зуммеры
paprika,паприка
sharif,шариф
adjutant,адъютант
furlough,отпуск
nefarious,бесчестный
overpower,Превосходство
flogged,выпороть
shakti,шакти
i.t.,Это.
hibernation,зимняя спячка
piston,поршень
adventurers,авантюристы
swabs,тампоны
build-up,собрать
rioting,учинение массовых беспорядков
demetrius,Деметриус
cannibalism,людоедство
pickin,Pickin
c4,c4
reluctance,нежелание
embroidered,вышитые
nome,нома
sia,ООО
gimp,канитель
whitmore,Уитмор
breeder,производитель
jafar,Джафар
margherita,Margherita
sizzle,шипение
reflective,отражающий
inger,Ингер
condemning,осуждая
endgame,эндшпиль
boathouse,навес для лодок
chilton,Чилтон
manageable,управляемый
disintegrate,распадаются
ethereal,эфирный
brimstone,сера
preferences,предпочтения
cookin,Cookin
phonograph,фонограф
workload,нагрузка
ho-ho-ho,Хо-хо-хо
gautam,Гаутама
credited,зачислена
evading,уклоняясь
mouthpiece,мундштук
farmland,сельхозугодий
fouled,замутили
eights,восьмерок
carnations,гвоздики
scissor,ножничный
sponsoring,спонсирование
farrah,Фарра
hairless,безволосый
defenceless,беззащитный
narcissist,самовлюбленный человек
reappear,снова появляется
undisturbed,невозмущенное
bittersweet,горьковато-сладкий
tusk,бивень
memoir,научная статья
plunging,погружение
alaric,Аларик
lawns,газоны
manta,манта
concorde,Конкорд
pleads,умоляет
iranians,иранцы
regulated,регулируемая
compadre,кум
arming,вооружение
sarin,зарин
prowler,бродяга
antwerp,антверпен
armadillo,броненосец
tanked,Tanked
whisperer,сплетник
magpie,болтун
wealthiest,богатейшим
sig,сиг
halliwell,Halliwell
sedation,успокоение
ljust,ljust
ayesha,Аиша
impersonate,Impersonate
fabrication,изготовление
mediocrity,посредственность
zapata,Сапата
crafted,проработаны
nog,нагель
suppressing,подавление
metric,метрический
scurvy,цинга
yukon,Юкон
photocopy,фотокопия
impromptu,экспромтом
fable,басня
alterations,изменения
striptease,стриптиз
attentions,ухаживание
crunches,сухарики
chae,Чэ
pryce,Прис
felton,Фелтон
printers,принтеры
coating,покрытие
rims,диски
salamander,саламандра
succubus,суккуб
seatbelts,ремень безопасности
rotary,ротационный
maxime,МАКСИМ
château,замок
mirza,мирза
huddled,ютились
t-rex,т-рекс
frm,FRM
six-month,шесть месяцев
vulcans,вулканцы
undermining,подрыв
racking,стеллажной
soliciting,ходатайство
repetitive,повторяющийся
lighted,освещенная
parma,пармской
daniella,Даниэлла
barracuda,барракуда
conga,латиноамериканский танец
mizuno,Mizuno
shimizu,Shimizu
bumble,запинаться
shined,освещенное
liberator,освободитель
hyeon,Хён
tillman,Тиллман
kiera,Киера
misbehave,дурно вести себя
incarnation,воплощение
stupendous,огромная важность
whereby,согласно которому
pouting,надуть
decked,Одетые
virgo,Дева
forthat,для этого
diddle,надувать
scour,размыв
lidocaine,лидокаин
fatality,фатальность
pinning,пиннинга
cobalt,кобальт
rudely,грубо
jailhouse,тюрьма
restrict,ограничивать
amuses,развлекает
ducats,дукатов
enthusiast,энтузиаст
chronicles,летописи
scorpius,Скорпиус
interactive,интерактивный
happend,сЛУЧИЛОСЬ
kooky,с закидонами
shih,Shih
devouring,пожирание
emancipation,эмансипация
rourke,рурк
alaskan,аляскинский
headman,десятник
harmonious,гармоничный
noi,Noi
infiltration,инфильтрация
hothead,забияка
midas,Мидас
wholeheartedly,искренне
gugu,Gugu
erwin,Эрвин
kaitlin,Кейтлин
hepburn,Хепберн
classrooms,классы
leia,Лея
bulging,выпячивание
rousing,будить
a-are,а-в
wherefore,для чего
pulpit,кафедра
monogamy,моногамия
craftsmen,мастера
harv,Харв
linens,постельное белье
ere,прежде чем
ladybug,божья коровка
pooping,изматывать
steered,направленный
aimlessly,бесцельно
calendars,календари
40-year-old,40-летний
firefight,перестрелка
kohl,сурьма
ijust,я просто
re-you,повторно вас
wynonna,Wynonna
grog,грог
purged,продували
lukewarm,тепловатый
ultraman,Ультрачеловек
will-,буду-
minion,миньон
dissection,рассечение
advisers,консультанты
demeanor,поведение
archaic,архаичный
sentient,чувствующий
lazar,нищий
uninhabited,необитаемый
falter,Falter
yourfather,твой отец
reactors,реакторы
realistically,реалистично
windscreen,ветровое стекло
destinations,направления
fremont,Fremont
louisville,Луисвилл
paulina,Паулина
iceman,мороженщик
thrift,бережливость
opie,Опи
uploading,загрузка
fast-paced,быстрый темп
mcgrath,McGrath
shoveling,лопатой
eee,еее
sideline,боковая линия
fathered,усыновил
creeper,рептилия
dade,Даде
waltzing,Waltzing
rackets,ракеток
broots,Брутса
stryker,Stryker
eppes,Эппес
hush-hush,ТСС
shel,шель
smythe,Смайт
posterior,задний
disbarred,лишены права
disconnects,отсоединяется
disappearances,исчезновениях
snapper,дночерпатель
stace,Stace
unveil,открывать
delko,Delko
gr,гр
wheezes,хрипы
trailers,прицепы
willed,волевой
inspecting,инспектирование
tote,тотализатор
caro,Каро
autonomy,автономия
warring,воюющие
vetted,прошедшая проверка
mnh,MNH
cronies,дружки
whiter,белее
felons,уголовники
dysentery,дизентерия
binky,Бинки
nous,сметка
nadya,надя
harcourt,Харкорт
chekov,Чеки
township,городок
lunacy,невменяемость
jas,Jas
vegeta,Вегета
insistence,настойчивость
handwritten,рукописный
crusades,крестовые
feline,кошачий
westinghouse,Westinghouse
rami,Рами
pasa,паша
chrissie,Крисси
tuan,туан
mindful,"внимательный, помнящий"
alla,алла
bacchus,Вакх
footwear,обувь
overture,увертюра
i-is,я-это
tolliver,Толливер
mcleod,Маклеод
aussie,австралиец
freda,ФЭРСРА
drowsy,сонный
fluorescent,флуоресцентный
pretender,самозванец
sawmill,лесопилка
shunned,сторониться
lt,л
konrad,Konrad
frauds,мошенники
cemeteries,кладбищ
bhavani,Bhavani
nutmeg,мускатный орех
buggered,содомия
turquoise,бирюзовый
correlation,корреляция
pinkerton,Пинкертон
morning,утро
conning,Коннинг
aversion,антипатия
recommends,рекомендует
mongoose,мангуста
kaput,уничтоженный
powerhouse,электростанция
excavated,вынутый
gripping,захватывающее
derelict,покинутый
marshes,марши
overturn,переворот
embodiment,воплощение
twila,Twila
rapunzel,Рапунцель
hatching,штриховка
jamison,Джемисон
elwood,ElwooD
bathhouse,баня
lends,придает
circuitry,схема
hideaway,укрытие
mcnulty,Макнолти
25-year-old,25-летний
eames,Эймс
lingers,задерживается
livingston,Ливингстон
confederacy,конфедерация
terrify,Terrify
inaccessible,недоступный
catwalk,подиум
tater,картофелина
tots,карапузы
darkroom,темная комната
visuals,визуальные
sikes,Сайкс
carvings,резьба
lorena,Лорена
our,наш
depict,изображают
spaceman,астронавт
nuremberg,Нюрнберг
aquatic,водный
anvil,наковальня
mediation,посредничество
avenues,проспекты
baroque,барокко
lahore,Лахоре
systolic,систолический
harms,Хармс
maximize,разворачивания
jangle,пререкания
messer,Messer
headin,headin
tweedle,пиликать на скрипке
mariachi,мариачи
larrabee,Larrabee
tournaments,турниры
booby-trapped,заминированного
kes,KES
ventures,предприятий
belize,Белизе
cheney,Cheney
saltwater,соленая вода
cesspool,выгребная яма
salve,тешить
hazing,дедовщина
nudist,нудистский
melancholic,меланхолический
futon,футон
westchester,Westchester
bestseller,бестселлер
hangout,тусоваться
arbor,оправка
thermostat,термостат
picturesque,колоритный
castrated,Кастрированный
ambience,атмосфера
entirety,цельность
before-,перед-
enabling,что позволяет
olds,дети
leisurely,неторопливый
hella,Хелла
deposed,свергнутый
opted,выбрали
pickings,поживу
pivotal,основной
mis,MIS
loafer,бездельник
congressmen,конгрессмены
round,круглый
genital,генитальный
signaling,сигнализация
unis,UNIS
flog,Flog
austrians,австрийцы
so-and-so,так-то
sleepin,спать в
als,ALS
surfboard,доска для серфинга
sil,силь
preserves,сохраняет
gripped,Gripped
co-pilot,второй пилот
accelerant,ускоритель
satya,сатья
incubator,инкубатор
nigerian,нигерийский
hey-,Привет-
arty,с претензией на художественность
houseboat,плавучий дом
seminars,семинары
mohawk,мохаук
caressing,ласкательный
gaz,Gaz
capricorn,Козерог
konstantin,константин
vaccinated,вакцинированных
footwork,работа ног
promiscuous,разнородный
flagpole,флагшток
hinge,петля
alyosha,Alyosha
methinks,мне кажется
pave,Pave
miko,Мико
grouse,рябчик
clipboard,буфер обмена
swahili,суахили
gennaro,Дженнаро
jot,йота
electrified,электрифицированный
carlito,Карлито
ders,Ders
mugger,грабитель
chiropractor,костоправ
nutcracker,щелкунчик
shortened,укороченный
hogging,коробления
confound,вмешивающийся фактор
tundra,тундра
you`ll,ll `
chickened,струсил
megaphone,мегафон
ramses,Рамзес
blindsided,Blindsided
incite,подстрекают
caption,подпись
tackling,Tackling
iraqis,иракцы
unjustly,незаслуженно
8-year-old,8-летний
turds,экскременты
awkwardly,нескладно
dispensary,диспансер
julián,Хулиан
demonstrators,демонстранты
catdog,Котопес
lock-up,блокировки
bod,заболачивание
clung,лепились
extracurricular,внеаудиторный
renovating,Реновация
cyst,киста
soufflé,суфле
perchance,возможно
abbs,Abbs
illustrations,иллюстрации
dismembered,расчлененный
first-degree,первая степень
laughable,смехотворный
lemur,лемур
balances,противовесов
cato,Катон
hangers,плечики
unification,объединение
civilisations,цивилизации
vilma,Вильма
porterhouse,пивная
prob,проб
cabana,кабинка для переодевания
leipzig,лейпциг
budgets,бюджеты
orry,иться
collarbone,ключица
reeds,камыш
lithuania,Литва
somerset,прыжок кувырком
fernanda,Фернанда
dynamo,динамо
jarrod,Джаррод
sponsorship,спонсорство
familiarity,знакомство
piñata,piñata
hakim,крупный чиновник
bogged,затянутый
boudoir,будуар
housemaid,уборщица
crayon,пастель
pfeiffer,пфейффер
perrin,Перрин
hinted,намекнула
large-scale,крупномасштабный
pom,П
frustrations,разочарования
motif,лейтмотив
shipwrecked,потерпевший кораблекрушение
transformers,трансформеры
caligula,Калигула
pullman,Pullman
hanne,Ханне
omens,приметы
suis,суис
extremities,конечности
deduce,Выведите
popov,Popov
dwells,обитает
unplugged,отключен от сети
seaboard,морское побережье
nishi,Ниши
publications,публикации
self-help,самопомощь
druids,друиды
pedicure,педикюр
déjà,дежа
pym,Пим
apophis,Апофис
falcone,Фальконе
actually-,фактически-
gul,гал
yui,юй
finalize,финализации
mounts,монтирует
overdone,преувеличенный
assorted,сортированный
varun,Варуна
tubs,бадьи
whitley,Уитли
finalized,доработан
superstars,суперзвезд
immaterial,несущественный
stainless,нержавеющий
disinfectant,дезинфицирующее средство
damning,убийственный
whitehead,милиум
storybrooke,storybrooke
mope,киснуть
anchorage,анкеровка
loom,ткацкий станок
kinetic,кинетический
turnips,репа
foothold,точка опоры
chlamydia,хламидиоз
crème,crème
fifties,пятидесятые годы
krystal,Krystal
ashby,Эшби
umberto,Умберто
webs,полотна
cavities,полости
down-,вниз-
mormons,мормоны
postage,почтовые расходы
rothschild,Ротшильд
s-,s-
dreading,боясь
doolittle,Дулитл
captivated,пленила
yeah,Ага
saddened,опечалены
trolling,троллинг
capitalists,капиталисты
gruntlng,gruntlng
shea,карите
cyndi,Cyndi
hoes,мотыги
signify,означать
nucky,Наки
myles,Майлс
dips,провалы
dimple,ямочка
bannerman,Баннерман
holliday,Холлидей
ascended,Вознесенные
tidied,прибрано
shrouded,закутанный
alienated,отчужденный
wop,"прозвище, даваемые американцы иммигранты из Италии"
childs,Дети
satoshi,Satoshi
debit,дебет
newsstand,киоск
akemi,Akemi
bodie,Боуди
lovey,Lovey
molding,молдинг
mays,гребные гонки
mouth-to-mouth,рот в рот
harlow,Харлоу
monotonous,монотонный
symposium,симпозиум
grasped,непостижимы
displacement,смещение
barnabas,Варнава
1ahff,1ahff
blackburn,Blackburn
competence,компетентность
saiyan,Саян
sniffed,вдыхают
midlife,средний возраст
zit,прыщик
sorry-,Прости-
djaro,Джаро
advisable,рекомендуемый
t-don,т-дон
suzette,Suzette
sienna,охра
scribbling,строчит
skateboarding,скейтбординга
feats,подвигов
madder,марена
undermined,подрывается
cinematic,кинематографический
overpriced,завышена
ephraim,Ефрем
whimper,хныканье
parishioners,прихожане
self-destructive,саморазрушению
hungarians,венгры
tapioca,тапиока
ry,чень
slumming,трущобы
effie,Эффи
homely,некрасивый
vineyards,виноградники
ec,ЕС
vics,VICS
heathcliff,Хитклиф
spartans,Спартанцы
well-dressed,нарядный
crapper,сортире
enslave,Enslave
cocked,поднятый
megazord,megazord
bucking,щелочение
repellent,отталкивающий
langford,Лэнгфорд
perched,взгромоздился
paraguay,Парагвай
flabby,дряблый
defiled,осквернил
dolce,дольче
choosy,привередливый
narcotic,наркотический
11-year-old,11-летний
battalions,батальоны
motorcade,автоколонна
kelley,Kelley
beaks,клювы
tomás,Tomás
t-minus,т-минус
sleek,гладкий
vividly,живо
koch,Koch
judi,Judi
classification,классификация
esquire,эсквайр
nitrous,азотистый
vouchers,ваучеры
cascade,каскад
frees,освобождает
shabbat,шаббат
winona,Вайнона
walled,обнесенный стеной
wagging,виляние
mew,мяукать
regrettably,прискорбно
unsuitable,неподходящий
esperanza,Эсперанса
winger,нападающий
injun,индеец
dented,Проломленный
remodeling,ремоделирования
heroics,героики
rie,Rie
evaporate,испарить
cramer,Крамер
withdrawals,водозабор
easton,Истон
economically,экономически
eloping,тайно сбегание
gilroy,Гилрой
blogs,блоги
dunkirk,Дюнкерк
carpenters,плотники
bleeps,короткие электронные звуки
mookie,Муки
fib,выдумка
hoarse,хриплый
recognizable,узнаваемый
oldie,Олди
pardons,помилование
seawater,морская вода
dwellers,обитатели
from-,из-
home-made,самодельный
pelham,Pelham
fusco,Фуско
everglades,Эверглейдс
crowding,сгущение
wetting,смачивание
fizz,шипение
manifests,манифесты
overdid,перестарались
kinch,Кинч
roomie,товарищ по комнате
ofthat,"того, что"
haircuts,стрижки
myriad,мириады
confounded,посрамлены
faruk,Фарук
cupboards,шкафы
subconsciously,подсознательно
catchphrase,коронная фраза
agility,ловкость
panzer,танковый
ir,инфракрасный
supple,податливый
winery,винный завод
filippo,Filippo
inflate,надуйте
pane,панель
rodolfo,Родольфо
flamenco,фламенко
trachea,трахея
rakesh,Ракеш
mph,миль / ч
kinney,Кинни
domesticated,одомашненных
molded,формованные
hardball,бескомпромиссность
reena,Рина
eveyone,Eveyone
consenting,соглашаясь
reston,отдыхай
repugnant,отвратительный
oates,Оутс
corrupting,развращать
flocks,отары
gunnery,артиллерийское дело
devotee,приверженец
ails,беспокоит
stepan,степан
ester,эфир
entrails,внутренности
keepsake,слащавый
dahl,Даль
versed,сведущий
two-man,двух человек
mycroft,Майкрофт
foundry,Литейный завод
fido,Фидо
wordy,многословный
formaldehyde,формальдегид
prepaid,предоплата
chit-chat,болтовня
gesundheit,Gesundheit
villager,сельский житель
orhan,Орхан
reassurance,перестраховка
outcomes,результаты
bitte,Bitte
trillions,триллионы
liquidate,ликвидируют
cheaply,дешево
niklas,Никлас
romi,Роми
drax,Драка
kilt,юбка в складку
judea,Иудея
bigot,изувер
hayashi,Hayashi
autonomous,автономный
unbroken,непрерывный
osbourne,Osbourne
awry,косо
radley,Рэдли
alternating,переменный
ontario,Онтарио
spooks,душманы
detach,открепление
coax,коаксиальный кабель
lorenz,Лоренц
volker,Volker
mumbo,Мамбо
cr,кр
tilted,наклонная
outnumber,превосходить численно
preceded,предшествуют
morph,превращаться
bedbugs,постельные клопы
zillion,мильона
hopin,запрыгивай
allahu,Allahu
batmobile,Бэтмобиль
cometh,приходящего
self-preservation,самосохранение
distinguishing,отличительный
goya,Гойя
lashing,порка
veiled,замаскированный
freshness,свежесть
his,его
matsumoto,Мацумото
commissary,интендант
kalle,Kalle
sorrowful,скорбный
drab,однообразный
accommodating,вмещающий
springsteen,Спрингстин
tonino,Тонино
tweezers,пинцет
chuen,Чуен
sternum,грудина
debacle,ледоход
cellars,подвалы
ariadne,Ариадна
knowed,знал
fastball,Fastball
chopra,Чопра
sown,посевная
sunsets,закаты
impractical,непрактичный
reputations,репутаций
morsel,кусочек
nymph,нимфа
god-fearing,богобоязненный
gleason,Глисон
zora,Зора
manuals,руководства
subatomic,субатомный
exonerated,реабилитирован
nawab,наваба
bettie,Bettie
letterman,Леттерман
roughed,разогнали
sima,сима
gutierrez,Гутьеррес
musically,музыкально
ethiopian,эфиопский
self-sufficient,самодовлеющий
junko,Junko
samar,Samar
satoru,Сатору
healey,Healey
sandal,сандал
you-know-who,"Вы знаете, кто"
fabrizio,Фабрицио
monterey,Monterey
yada,болтовня
bapu,Бапу
fletch,Флетч
disillusioned,разочарованный
karol,Кароль
befriended,подружился
enticing,соблазнительный
gloating,злорадство
gust,порыв
lubricant,смазочный
sergeants,сержанты
hymie,Хиня
ibn,ибн
overdosed,передозировка
simulations,моделирование
soren,Сорен
pivot,вращаться
makings,задатки
insecurities,ненадежность
eldridge,Элдридж
martyrdom,мученичество
ultron,Ultron
apologising,извиняясь
craves,жаждает
wilshire,Wilshire
bequeath,завещать
clacks,захлопки
halted,приостановлено
irritation,раздражение
som,сома
smarty,всезнайка
cafes,кафе
divides,водоразделы
uri,URI
apu,апу
pandas,панд
incantation,заклинание
compels,принуждает
rams,бараны
alphabetical,алфавитный
bavarian,баварский
amputated,ампутированный
rebelling,бунтуют
duckula,duckula
empties,порожняк
ascending,по возрастанию
habitable,обитаемый
blackened,почерневший
kevlar,кевлар
improvising,импровизировать
photoshop,фотошоп
tome,мне
juana,Хуаны
cami,Ками
uruguay,Уругвай
leniency,снисходительность
crepe,креп
rendition,исполнение
margaux,Margaux
archimedes,Архимед
crenshaw,Креншоу
messed-up,перепутались вверх
squishing,хлюпающие
fingered,потрогал
coffers,казна
offset,компенсировать
educating,воспитания
slugger,отбивающего
1940s,1940-е годы
gpa,GPA
viscount,виконт
forty-eight,сорок восемь
unanimously,единогласно
jabbar,джаббар
leapinlar,leapinlar
gentleness,мягкость
drizzle,изморось
pontiac,Понтиак
serpents,змеи
runner-up,занявший второе место
impacted,влияние
meager,скудный
nappies,подгузники
insurrection,восстание
ely,Ely
replicators,репликаторы
gargoyle,горгулья
kerr,Керр
seclusion,замкнутость
reroute,перенаправления
cyclist,велосипедист
incarnate,воплощенный
congratulating,поздравительном
besieged,Осажденный
wicket,калитка
incinerator,мусоросжигательная печь
epitome,олицетворение
cutthroat,беспощадный
esp,особ
millimeters,миллиметры
tranny,транзистор
moonlit,залитый лунный свет
sor,сор
elin,Элин
tano,Тано
chica,Чика
impudence,наглость
precedence,старшинство
heaving,выжимание
shirin,ширин
kala,калы
doa,DOA
dominguez,Домингес
diff,разница
basing,базирование
cadence,каденция
davide,Davide
fleed,fleed
tae-kyung,Тэ-Kyung
wesson,Wesson
ied,СВ
estrogen,эстроген
severide,severide
guilders,гульденов
jørgen,Йорген
yoshio,Yoshio
vermouth,вермут
obeys,слушается
nazir,назир
dissolving,растворение
akane,Аканэ
ght,GHT
forthis,за это
trashing,громя
all-nighter,все-Nighter
presumption,презумпция
temps,Temps
falk,Фальк
braves,храбрецы
goosebumps,мурашки
inhalation,ингаляция
gnawing,грызть
economist,экономист
brung,brung
ohm,ом
jesús,Иисус
tractors,тракторы
gohan,Гохан
emp,эй
adiós,Adiós
arduous,трудный
consortium,консорциум
starred,отмеченный звездой
ludlow,Ладлоу
althea,алтея
dandelion,одуванчик
raspberries,малина
netflix,Netflix
goalkeeper,вратарь
seamen,моряки
impounded,конфискован
validity,период действия
rappers,рэперов
desi,Дези
sockets,Розетки
skeeter,Скитер
realist,реалист
iga,иммуноглобулин А
households,домохозяйства
masculinity,мужественность
disappointments,разочарования
stiffs,покойнички
quiver,колчан
envisioned,Предусматриваемый
kwok,Квок
corleone,Корлеоне
acrobat,акробат
bubs,бюст
peripheral,периферический
niro,Niro
dabble,плескаться
leng,Ленг
sweatpants,спортивные штаны
twine,шпагат
misinformed,дезинформировали
flemish,фламандский
rpg,рпг
mishra,мишра
ackerman,Аккерман
allure,завлекать
impediment,препятствие
malory,Мэлори
hone,отточить
assassinations,заказные убийства
d-don,д-дон
cicely,кервель
disrespecting,неуважение
choy,чой
shaq,Шак
rev.,оборот
calloway,Каллоуэй
spares,запчасти
psychoanalysis,психоанализ
giddyup,Легкомысленный до
salman,САЛМАН
reminisce,вспоминать
cajun,Cajun
merlot,мерло
nita,Нита
retards,тормозит
ulla,улла
need-to-know,надо знать
televised,телепрограмму
milano,Милан
best-selling,пользующийся спросом
doctored,подделаны
scorch,подгорать
saskia,Саския
doesn`t,Безразлично `
bingum,bingum
guzman,Гусман
on-site,местный
pioneering,первопроходца
pinhead,тупица
flashbacks,ретроспективные
anika,Аника
hoard,копить
brewed,варится
squandered,растратил
predecessors,предшественники
seward,Сьюард
telemetry,телеметрия
noa,ноа
masao,Масао
primordial,исконный
botany,ботаника
strategist,стратег
fluctuations,колебание
prat,дурень
morten,Morten
chucking,зажиме
hennessy,Hennessy
allende,Альенде
apprehensive,опасающийся
highlander,горец
camaraderie,дух товарищества
precipice,пропасть
caliph,халиф
sodding,чертов
i.q.,коэффициент умственного развития
intrigues,козни
misuse,злоупотребление
oj,OJ
tripled,в три раза
relays,реле
inherently,по существу
violette,Violette
inexpensive,недорогой
cushy,легкий
prozac,Прозак
claudine,Клодин
vandals,вандалы
collectively,коллективно
munchies,Munchies
nanites,наниты
frolic,резвость
out.,вне.
disorganized,дезорганизованы
dispenser,распылитель
fillet,филе
beyonce,Бейонсе
mightn,mightn
aced,ACED
redecorating,косметический ремонт
diwali,Дивали
blythe,Блайт
maximilian,Максимилиан
optimal,оптимальный
lasso,лассо
recourse,обращение
brittas,Бриттас
hey-hey,эй-эй
mediator,медиатор
v-fib,v-выдумка
apologizes,извиняется
tunic,туника
memorabilia,памятные вещи
caterpillars,гусеницы
sodomy,мужеложство
anselmo,Ансельмо
photogenic,фотогеничный
take-out,выиграть
referral,направления
knope,knope
invulnerable,неуязвимый
closeness,близость
koh,кох
bobbing,флюктуация интенсивности светового пятна на экране радиолокатора
bleats,блеет
bleu,блю
unwittingly,невольно
twentieth,двадцатый
go-ahead,"вперед, продолжать"
turn-on,включи
yuriko,Юрико
sanctum,святилище
mouthwash,полоскание для рта
copilot,второй пилот
picker,сборщик
xian,сянь
whirlpool,джакузи
bombarded,бомбардировали
quacking,кряканье
stillness,неподвижность
ieyasu,Иэясу
raged,бушевал
heung,Heung
putnam,Putnam
applauded,аплодируют
perfectionist,перфекционист
c.c.,C.C.
thwarted,сорвано
blight,отравлять
pitchfork,вилы
oren,Орен
glutton,обжора
arnaud,Arnaud
piotr,Piotr
trimming,зачистка
poppin,попсовое
fiends,изверги
ah-ah-ah,Ах ах ах
madsen,Madsen
columnist,обозреватель
vadim,вадим
priory,приорат
overdrive,овердрайв
innuendo,инсинуация
davie,Дэви
retina,сетчатка
molotov,Molotov
lobes,мочки
wheeled,колесный
jian,цзянь
tireless,неутомимый
feminism,феминизм
tandem,тандем
mather,Mather
angst,тоска
eonni,eonni
allowances,довольствие
suntan,загар
attest,свидетельствуют
sluice,водовод
armitage,Армитаж
barrymore,Бэрримор
jeepers,Джиперс
unresponsive,отвечать на запросы
inhumane,негуманный
teleportation,телепортация
geographical,географический
loosing,теряя
three-year-old,три-летний
schoolyard,школьный двор
gaff,багор
philips,Филипс
misinterpreted,неверно истолкованы
siam,Сиам
sutherland,Сазерленд
node,узел
felice,Фелиция
flyin,влетать
hemorrhoids,геморрой
renzo,Renzo
comer,пришелец
wikileaks,Викиликс
y,Y
thruster,толкатель
chatsworth,Чатсуорт
phipps,Фиппс
infamy,гнусность
infuriating,бешенство
og,ог
swelled,набухать
rejoicing,ликование
wooster,Вустер
groomed,холеный
res,Рез
karsten,Карстен
grumble,ворчать
bilbo,ножные кандалы
gim,гИМ
uzi,узи
0ne,0ne
montalbano,Montalbano
suspenders,подтяжки
counterpart,копия
sanna,Санна
boozing,пьянство
workshops,мастерские
30-year-old,30-летний
florian,Флориан
zu,цу
undergone,претерпели
tiptoe,цыпочках
solvent,растворитель
hatcher,заговорщик
soapy,мыльный
thatyou,thatyou
gutsy,бесстрашный
nath,натх
nordic,нордический
instinctive,инстинктивный
martino,Martino
dishonesty,нечестность
masako,Масако
